"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"70","12C16O_48h_100_unf_bin.32",0,0.102040816326531,0.103448275862069,0.354166666666667,0.125,0.235294117647059,"3","Early Responders"
"71","12C16O_48h_100_unf_bin.8",0,0.222222222222222,0.142857142857143,0.111111111111111,0.357142857142857,0.214285714285714,"48","Middle Responders"
"72","12C16O_48h_50_P09_coass_bin.1",0,0.161290322580645,0.444444444444444,0.266666666666667,0.318181818181818,0.272727272727273,"24","Middle Responders"
"73","12C16O_48h_50_P10_coass_bin.25",0,0.336585365853659,0.333333333333333,0.0742574257425743,0.414634146341463,0.353658536585366,"48","Middle Responders"
"74","12C16O_48h_50_P10_coass_bin.29",0,0.414285714285714,0.435897435897436,0.198529411764706,0.571428571428571,0.554347826086957,"48","Middle Responders"
"75","12C16O_48h_50_P10_coass_bin.36",0,0.383606557377049,0.247252747252747,0.143333333333333,0.347619047619048,0.422330097087379,"72","Middle Responders"
"76","12C16O_48h_50_P10_coass_bin.38",0,0.341463414634146,0.366666666666667,0.1,0.5625,0.6,"72","Middle Responders"
"77","12C16O_48h_50_P10_coass_bin.39",0,0.388888888888889,0.25,0.166666666666667,0.214285714285714,0.571428571428571,"72","Middle Responders"
"78","12C16O_48h_50_P10_coass_bin.43",0,-0.147058823529412,-0.210526315789474,-0.264705882352941,-0.166666666666667,-0.225,"0","Sensitive"
"79","12C16O_48h_50_P10_coass_bin.9",0,0.25,0.391304347826087,0.0833333333333333,0.259259259259259,0.423076923076923,"72","Middle Responders"
"80","12C16O_48h_50_P13_coass_bin.11",0,0.025,0.0612244897959184,-0.15,0.0508474576271186,0.0357142857142857,"24","Middle Responders"
"81","12C16O_48h_50_P13_coass_bin.16",0,0.368421052631579,0.428571428571429,0.236842105263158,0.4375,0.46875,"72","Middle Responders"
"82","12C16O_48h_50_P13_coass_bin.24",0,0.0769230769230769,0.214285714285714,0.0833333333333333,0.1875,0.166666666666667,"24","Middle Responders"
"83","12C16O_48h_50_P13_coass_bin.30",0,0.0540540540540541,0.25,0.117647058823529,0.107142857142857,0.133333333333333,"24","Middle Responders"
"84","12C16O_48h_50_P13_coass_bin.31",0,0.166666666666667,0.555555555555556,0.0833333333333333,0.421052631578947,0.388888888888889,"24","Middle Responders"
"85","12C16O_48h_50_P13_coass_bin.32",0,0.0555555555555556,0.115384615384615,-0.138888888888889,0.0689655172413793,0.133333333333333,"72","Middle Responders"
